Title,Genre,Plot
Dr. Del (2016),drama,"Del Canyon reluctantly returns to his small hometown to run his family's apothecary, the only source for medical attention for hundreds of miles. The series will follow his emergence as the town healer while he grapples between his desire to distance himself from a painful past and his inability to turn his back on a community struggling to find its place in contemporary America."
Henry & Verlin (1996),drama,"Verlin is 9 years old and does not talk, nor does he even seem to hear. Henry, a child-like adult, befriends Verlin and pulls him from his shell. Verlin's mother mistrusts Henry, who she feels is dangerous. Eventually, Henry's family is convinced that he should be placed in an institution. Henry's sudden disappearance from Verlin's world drives him deeper into himself. It's 1935 in rural Opeongo County, Ontario. Henry, who still lives with his parents, is a hulking man, which belies his slow mental status more closely resembling that of a child in many respects. Although many in the county view Henry as harmless, those who not support that view look to his association with such people as Elvin, who believes angels live behind his eyes, and one-legged Mabel, who lives by her own code, as confirmation that he is a menace. Nine year old Verlin is Henry's nephew, the son of Henry's brother Ferris and Ferris' wife Minnie. Verlin does not speak nor does he seem responsive to human stimuli, something that only occurred as he came out of infancy. It isn't until Henry starts spending time with Verlin that Verlin seems to become happy and respond to a human around him. However, Minnie wants to believe that response is for her. She also does not not trust Henry who increasingly takes off with Verlin on their adventures without asking either her or Ferris. As such, Minnie, like many in the county, want to see Henry institutionalized as she fears he could be a danger to Verlin. Caught in the middle is Ferris, who, like his and Henry's parents, loves and inherently trust him, but who wants to ensure Verlin's safety and happiness and wants to retain a supportive marriage with Minnie."
Move It: Reel 2 Real Documentary (2018),documentary,"In 1994 the reggae/dance duo Reel 2 Real, featuring The Mad Stuntman (Mark Quashie), a talented young reggae artist from Trinidad and Tobago and Erick Morillo a Colombian-American DJ, music producer and record label owner created one of the hottest international dance songs, ""I Like to Move it."" The song took the world by storm charting internationally becoming a multi-platinum single and solidified its position within pop culture when in 2005 it was featured in the popular movie Madagascar. The documentary ""Move it"" gives us a candid look at The Mad Stuntman's quick rise to fame to the fall of one of the most successful groups in the 90's from the people who know him best. More than 20+ years later, can The Mad Stuntman defy the odds and recreate the success he once held?"
Piigs (2017),documentary,"PIIGS is a documentary that challenges prevalent European budgetary policies and the austerity dogma. It does so by bringing in lesser-known facts and evidence that have the effect of ridiculing prevalent European monetary policies and dominant political certainties. Did you know that the famous god-like Stability and Growth Pact with its 3% deficit limit and theories about critical government debt levels are based on purely invented figures and typing errors in Excel spreadsheet? However, austerity policies keep on dividing the continent into winners and loosers, creating great amount of suffering, particularly in so-called crisis countries. Consequently, the whole European project has become in doubt. PIIGS is a Southern European take into austerity dogma and states with the voice of prestigious international economists, intellectuals and experts, that the origin of the European debt crisis is not the inadequacy of people in crisis countries but the very foundation of euro itself. Unfortunately people are not immune to bad decision making, and the documentary shows how austerity turns into practice in Rome, focusing on a survival story of a cooperative assisting disabled people."
Holiday Greetings 1941 (1941),short,"Lewis Stone urges movie-goers to appreciate those in the US armed forces who will be spending the holidays overseas, away from their families. On behalf of everyone in motion pictures, he wishes them ""a very happy, and a free, holiday."""
Truth of the Situation: Making 'The Counselor' (2014),documentary,"This documentary is divided into 13 segments. The segments feature notes from Ridley Scott, screenwriter Cormac McCarthy, production designer Arthur Max, special effects technician Matthew Horton, executive producer Mark Huffam, supervising location manager James Grant, costume designer Janty Yates, cheetah handler Alan Ames and actors Cameron Diaz, Michael Fassbender, and Javier Bardem. These segments look at the screenplay and the movie's development, story/characters/themes, sets and locations, costumes, hair and effects, and additional areas."
"""Sanford"" (1980)",comedy,"In this sequel to the hugely successful ""Sanford and Son"", this show picks up where the original show left off. Lamont has moved away to work on the Alaska pipeline, leaving Fred alone to run the junkyard by himself. Cal, a friend of Lamont's, moves down to Watts to help Fred run the business. In the meantime, Fred meets a rich widow named Eve and falls in love. This is not good news for Eve's family who don't like the fact that she would fall for a common junk man. The show follows Fred as he keeps on trying to make his junk business a success and his love affair with Eve."
Shin kagiana karamiau shita to shita (2005),mystery,"A beautiful woman marries a wealthy man, who for years chose to be a bachelor in spite of numerous female suitors. At first the marriage is perfect; he's a loving husband and an enthusiastic lover. But soon the romance cools and the wife discovers that it has to do with a secret kept in the attic, something - or someone - he visits every night, that is changing him from a loving husband into a stranger... Akira Fukamachi directs this erotic and atmospheric drama. A beautiful woman marries a wealthy man, who for years chose to be a bachelor inspite of numerous female suitors. At first the marriage is perfect; he's a loving husband and an enthusiastic lover. But soon the romance cools and the wife discovers that it has to do with a secret kept in the attic, something - or someone - he visits every night, that is changing him from a loving husband into a stranger... Akira Fukamachi directs this erotic and atmospheric drama. Directed by Akira Fukamachi"
The Bourne Identity: Cloak and Dagger: Covert Ops (2004),short,"We hear from CIA officer Chase Brandon as he talks about the agency's set-up, the work of field operatives, and his thoughts about depiction of various elements in the film. As with its predecessors, this show remains superficial, but it gives us an enjoyable and concise piece."
The Wild Bull's Lair (1925),western,"Resentful college graduate Eagle Eye, disguises himself as a white man and persuades James Harbison to create a new breed of cattle by crossing cows with bison. The first of the strain, a wild bull called Diablo, escapes from Harbison's ranch and goes to Skull Mountain, headquarters of a band of savage Indians led by Eagle Eye and dedicated to the destruction of the white man. Eagle Eye trains the bull to lead away the rancher's cattle and to gore anyone who attempts to stop him. Dan Allen is sent by the government to investigate and goes to the Harbison ranch, where he falls in love with Eleanor, the rancher's pretty daughter. Eagle Eye lures Harbison and his daughter to Skull Mountain and sets Diablo loose on them; Dan arrives and overcomes the bull. All ends well and Dan marries Eleanor."
Pokriv (1978),drama,"Kiril is a long-distance lorry driver. His one and only dream in life is to build a house for his family as befits the head of the family. He wants a roof for his wife and child. To make his dream come true, he is indiscriminate in the choice of ways he takes advantages of his friends. He moonlights and takes up the most exhausting jibs. He even steals construction materials and uses the lorry to make money on the side. The idea of material well-being becomes a fetish in the minds of Kiril and his wife. However, a most unexpected turn of events jolts his family life. An excitable gypsy woman comes into Kiril's life and he falls in love with her recklessly and wholeheartedly. His infatuation draws him away from his old monotonous routine. It is also a kind of revolt against his empty life, devoid of any noble sentiments. This period of utter abandon is, however, very brief and despite of it, the family house is nevertheless built."
The Gang (????/II),action,"The Gang is a study in the paranoia of power. Following an unspecified job involving an international gang of crooks, Frankie the Londoner is killed by the gang leader, Marquez. But this death-in full view of the gang- is not what it seems. For Frankie had been forewarned and manages to fake his own death. The story, then, starts with a bang and continues at breakneck speed with Frankie wreaking revenge on the gang as he tries to find out who betrayed him. The story lurches from one corner of Europe to another, pulling in Frankie's old London gang. Meanwhile, Marquez jumps to a false conclusion that this gang had reacted to Frankie's death and is hellbent on teaching Marquez a lesson. The stage is set for a showdown in Marquez' fortress in the Canaries where the paranoia is ratcheted up and the body count reaches Shakespearian proportions."
The Bookartist (2015),short,"The aspiring artist Robert Nippoldt has a vision: He wants to make a book. It shall be bright and bold - and bring him wealth and glory. Quickly, the publisher is won over and the artist is able to begin his work. Has he bitten off more than he can chew? The true story about the creation of an award-winning book."
Mississippi Cold Case (2007),documentary,"In 1964 in rural southwest Mississippi, a young black college student, Charles Moore, and his friend Henry Dee, were kidnapped by the White Knights of the Ku Klux Klan, taken into a nearby forest, beaten, tortured, and then taken to the Mississippi River's backwaters, where they were thrown in still alive. For 40 years, nobody seemed to care, except Charles' older brother, military non-comm Thomas Moore. Until, that is, national news organizations began to investigate this ""cold case"" Civil Rights murder in the late 1990s. David Ridgen, documentary filmmaker for Canadian Broadcasting, took up this cause, along with Thomas Moore. This film is the record of their investigation and their journey back to the sites of the murders. A journey into a true heart of darkness, this one in the United States. One surviving accused killer, James Ford Seale, was convicted belatedly in 2007 and went to prison."
"""Elles et moi"" (2008)",drama,"January 1939. The downfall of Barcelona confirms the default of the Spanish republicans. 500,000 of them had chosen the exile. Once arrived in France, men are disarmed and put in camps: Saint Cyprien, Argelčs. Gurs... Concerning their families, women, children and old people, the administration distributes them in improvised centers, most of them in Ardčche. Elles et moi chooses to follow up the destiny of the Estevas all along these terrible months and the five war years that followed them. Lluís, the father, does not accept the defeat. He lives pursuing the reconquest and sacrifices his own destiny to these ideals. Pilar, his wife, expects to survive in this new country that she guesses will be hers during a long time. Together with her two children, Isabel and Ignacio, first in Ardčche and then in Marsella, always brave, firm, and with a prodigious capacity to adapt, she will accept the help and the proofs of a society undermined by the default and the cooperation. Sixty years later, Isabel Esteva, a famous costume designer, presents in Paris her last fashion collection. She evokes the memories of this confused time; her brother when he entered the Pétain's militia at 17 because he was famine; her father died in October 1944, once back in Spain with some other thousand combatants to prepare an insurrection against general Franco. War, exile, oppression, expectancy always disappointing, and at the same time feeling renewed, for a better world. Life goes on."
The Ukes Down Under (2012),documentary,"The Ukulele Orchestra of Great Britain played their first gig in 1985, and the world has been catching up with them ever since. Riding the global ukulele boom they did so much to inspire, in February 2012 the band embarked on their first World Tour, starting in Australia. Litmus Films filmed The Ukes throughout their two-week trip, capturing backstage mishaps, road trip adventures, jam sessions with local fans, guerrilla gigs at unlikely venues and standing ovations across the country including Sydney Opera House. This intimate, uplifting and entertaining film shows the band as they've never been seen before."
Sasu Cha Swayamwar (2013),comedy,The frustrated Mohan Seeks a eligible groom for his interfering sasu. The sasu that he has inherited in his dowry.the unwanted dowry that takes his life through various levels of hell. So he arranges a swayamwar and story starts happening. To palm of his sasu he finds three bachelors.This story is all about how the sasu gets married and lead to an unexpected ending. Mohan gets married to Nandini but in dowry he inherits his mother in law Lalitabai this unwanted dowry makes his marriage life miserable Mohan and Nandini are unable to get space in the house frustrated with this he arranges her Swayamwar (self selection) and finds three bachelor's who could marry her.
Ember: The Sapphire Empire (????),sci-fi,"The first movie in the Mission Park Quinology begins with Christopher Ember. When the Sapphire Magician attempts to turn the city of Boston into his own private playground, nobody is safe. Picking up shortly after the events of Mission Park: The Hero Complex, Ember, The Original Man of Fire is forced to revisit his past and piece together why the Sapphire Magician has returned."
Young Ideas (1943),comedy,"Academy Award-winner* Mary Astor (The Maltese Falcon) stars as a widow whose grown children try to break up her romance with a college professor in this charming, offbeat comedy directed by the legendary Jules Dassin (Never on Sunday, Naked City, Rififi). When Susan (Susan Peters) and Jeff Evans (Elliot Reid), the adult children of widowed author and lecturer Jo Evans (Astor), discover that their mother has fallen in love with staid professor Michael Kingsley (Herbert Marshall), they intervene to try to end what they believe is an inappropriate relationship."
You Can't Beat Wellington (2011),comedy,"Donna and Owen are sexually frustrated and being irritating. Doug and Kenny decide to help their friends get laid. They make a bet on who can get the other laid first, then go about coaching their friends with their prospective love interests while trying to sabotage the other person. It all blows up when Kenny and Doug spy on the couples about to consummate their relationships."
Noises Off... (1992),comedy,"Lloyd Fellowes is the director of a theatre company. He's desperately trying to get his production together, despite the best efforts of the cast, the crew, and Lady Luck. We follow the production from final rehersals, through opening night, and onto the tour: as with any group of actors forced to work closely together for any great length of time, romances and arguments are bound to break out. Quite often, what's happening on stage is nothing compared to what's happening backstage...."
"""Surprise Inspection"" (2009)",reality-tv,"SURPRISE INSPECTION - Rats. Roaches. Rotten food. Irate owners. It's all in a day's work for the army of public health inspectors, who spend each day keeping the nation's food supply safe from contamination and disease. truTV's cameras will follow inspectors in Providence, R.I., as they shine their flashlights into the darkest corners of some of the city's dirtiest places, including restaurants, hotels, convenience stores, gas stations, stadium concession stands, public swimming pools and health clubs. This show will be a compelling, fast-paced glimpse into the world of those who do their best to keep public places clean and safe."
Minas-Texas (1989),adventure,"In a country town in the state of Minas Gerais , Brazil, Januária is going to marry the shy and naive Amorim. But in her heart she wants to escape with her dream hero, the cowboy Roy Pereira, and start a new life in Texas."
Heart Breaks Open (2011),drama,"A model queer activist and community advocate, Jesus (Maximillian Davis) prides himself in his work with the Seattle LGBT community. At the same time, Jesus is having unprotected sex and cheating on his long-time partner. Jesus's world implodes when he discovers that he is HIV positive, forcing him to confront his innermost fears, his relationship with his ex-boyfriend, and a future living with HIV. Faced with the unknown, Jesus is pulled from the brink of suicide by Sister Alysa Trailer (Brian Peters), a drag queen nun who leads him down a path of self-discovery."
"""Schicksale - und plötzlich ist alles anders"" (2010)",drama,"Viktor Krüger (engl. Krueger) as a single father and ex- Legionnaire Mr. Holger Herrsfeld in ""The Sniper "" (original title ""Der Heckenschütze"" S4E402). Season 4 Episode 402: Bettina Wegener (38) has decided to be with her choice as a police officer, to stick with justice and also control as well. But just with her own son Max (15) she seemingly have lost it all. In a moment when she least expects it, she must learn what dark and deep abyss is awaiting behind the reticence of her son - and is thus faced with a decision that will affect not only her career . Director: Andreas Ruhmland. 07.11.2014 17:30, ohne TV Werbung 22:44 min, Š SAT.1"
Sensual Massage Made Simple (2010),documentary,"Runner Up: BEST ART DIRECTION--FEATURE --2010 Action On Film International Film FestivalWinner: Award of Merit--2010 Los Angeles Cinema Festival of HollywoodMassage meets the digital age in a 2010 wide-screen production, shot in gorgeous high-definition color."
Medius (2016),drama,"The sequel to 'Foundations,' Medius picks up five years later. Ben and Belle are now living very different lives in different places, haunted by a dark tragedy that changed them forever. One day, by chance, Ben decides to reach out and reconnect with Belle. Through a series of video messages, they begin to enter each others lives again. But things are clearly not OK. For it is one thing entirely to tell your story to camera, but another to actually live it, and it becomes clear to both of them that their new lives aren't as perfect as they make out, as the cracks begin to show, and they are forced to face the trauma that ripped them apart one fateful day five years ago... The sequel to 'Foundations,' Medius picks up five years later. Ben and Belle are now living very different lives in different places, haunted by a dark tragedy that changed them forever. One day, by chance, Ben decides to reach out and reconnect with Belle. Through a series of video messages, they begin to enter each others lives again."
Nice n' Tight (1985),adult,"A busy motel becomes a fantasy ground for its occupants. At first, porn producer Paul gives an impromptu casting couch to a chambermaid. Newlywed Vicky wants her husband Harold to spend their honeymoon just in bed. Shy cowboy Beau hires his first escort Sally Thompson. Young runaway lovers Reggie and Catherine unite in a store room. Friends Nick and Ritchie hire a hooker. Nick wins her company via a coin toss, but she gets him to invite Ritchie along. Buxom aunt Mrs. Robinson gets her younger nephew in his sleep, but it's later revealed it was a hired act. Porn fans Alex and Jeff invite porn stars Karen and Charmel to their room. After Karen and Charmel enjoy each other, Alex gets Charmel and Jeff gets Karen."
D'Encre et de Sang (2016),drama,"Sébastien owns a book shop and has literary ambitions of his own. He befriends Joseph, an established novelist whose work he admires. But when Joseph is killed on his doorstep, Sébastien discovers a mysterious manuscript left behind. Sasha, Sébastien's only child, witnesses Joseph's death, and the effects run deep. She finds herself drawn to the author's son Sidney, and starts a relationship with him. As the two grow closer, she discovers that her father is hiding something. Sidney, feeling betrayed by Sasha, threatens to expose Sébastien to get justice for his father's memory. But his relentless pursuit for the truth leads him to uncover a tragic family secret from which he was protected... until now."
"""Written Without Consent"" (2013)",comedy,"Written Without Consent is a new sketch comedy show from TechNikkel Mass Productions, in association with Arche Films. It's a unique blend of film, music, comedy, and entertainment. Imagine going to a live show and enjoying stand-up comedy and your favorite local band, all interspersed with hilarious skits on the big screen. There may even be a little magic. And when the live show is done, you can go home and watch it on television, just like any other sketch comedy show. That's Written Without Consent."
The Sessions (2017),short,"Inspired by Anton Chekhov's play, Three Sisters, The Sessions follows a contemporary trio of sisters after their English Professor mother has died. They decide to talk about everything in an attempt to avoid the tragedies of the great Russian play they grew up hearing about and being compared to.."
License to Drive (1988),comedy,"Les doesn't have a driving license yet, but to impress his gorgeous date Mercedes he borrows his grandpa's Cadillac for a night out... and has to witness the poor car going through more and more intense maltreatments. The sixteen year-old Les Anderson has a crush on his schoolmate Mercedes Lane, but he is shy and she has a boyfriend, Paolo, who has a fancy car. Les and his twin sister Natalie Anderson are preparing to the driving test and while Natalie studies the questions, he does not pay attention to them. Les fails the test but is not brave enough to tell neither to his father Mr. Anderson nor to his pregnant mother Mrs. Andersonand his best friends Dean and the clumsy Charles. When Mercedes has an argument with Paolo, she invites Les to date her to make Paolo jealous. Meanwhile Les' parents discover that he has flunked his driver's test and they ground him. However, when Mercedes calls him asking if they are not going to date, Les sneaks away from his house and drives his grandfather's Cadillac that is parked in the garage to date Mercedes in the beginning of a nightmarish night of adventures. Les Anderson (Corey Haim) is about to take his driving test. He has a few things planned, based on the presumption that he will pass. Not least is a date with the girl of his dreams, Mercedes Lane (Heather Graham). Then he fails, and his plans are shattered. He doesn't tell anyone that he has failed though and goes ahead with the date with Mercedes. Key to his night out is taking his grandfather's prized 16-year old low-mileage Cadillac, left in the care of his father. The car, and his attempts to keep it unharmed, are the source of many adventures that night. However, his friend, Dean (Corey Feldman), is the number 1 source, egging him on. Les is a teenager attempting to learn how to drive, as well as catch the eye of a popular girl. He is able to secure a date with the girl, Mercedes, and it is assumed he will drive. But, he doesn't have his license yet. When it comes time for his driving test, he fails. He doesn't want to risk the chance at going out with Mercedes, so he decides to go anyway. Not only does he disobey his parents by going in the first place, but he takes his grandfather's prized possession - his Cadillac. Will he get through the night without wrecking the car, and get away with sneaking out, or will his plan collapse? 'An innocent girl. A harmless drive. What could possibly go wrong?' For sixteen year old Les Anderson, plenty can go wrong when you have a night like his. He's an adolescent American with dreams of getting his hands on his first driver's license, so he can hit the town cruising with his friends Dean and Charles, but ultimately to impress the girl of his dreams, Mercedes Lane. Unfortunately for Les, his worst nightmare hits home hard when he fails his driving exam and his parents put him on probation for trying to hide the truth, so now his chances of being able to drive are squashed badly. However, Mercedes, who has just broken up with her old boyfriend who's a rich snob, is bored and wants to keep the date that she promised with Les and the youngster's heart skips a beat when she calls him up asking to go out for a night on the town. Les knows he's risking big-time punishment, but he decides that if he's gonna go down, he may as well have some fun with the girl of his dreams. When he takes his grandfather's prized Cadillac on his date with Mercedes, hilarity ensues with him, his friends Dean and Charles and his drunken date as they do all they can to get the Caddy home in one piece as comical disaster roars down the fast lane."
WWE Taboo Tuesday (2005),sport,"John Cena (c) vs Kurt Angle vs Shawn Michaels, Batista vs The Coach, Lance Cade (c) and Trevor Murdoch (c) vs Kane and Big Show, Matt Hardy and Rey Mysterio vs Snitsky and Chris Masters, Trish Stratus (c) vs Maria vs Mickie James vs Victoria vs Candice Michelle vs Ashley, Eugene and 'Superfly' Jimmy Snuka vs Tyson Tomko and Rob Conway, Ric Flair (c) vs Triple H, Carlito vs Mankind."
Mister Santa Monica (2018),documentary,"This is the feature length version of the award winning short film ""Mr. Santa Monica."" About Nat Trives, the man who cares. Nat has had a significant impact on the City of Santa Monica and the State of California over his 80 plus years. The film comprises of interviews of those people who know Nat and those who have been impacted by him. These interviews are woven together with archival footage and current images of Santa Monica."
Red Cap (2001),drama,"Drama about the Military Police's Special Investigation Branch stationed in Germany. The team, including new member Jo McDonagh, start an investigation when it is found that a British Corporal who attempted suicide was driving the car of Kirsten Railton-Ulmke - the missing wife of a British Army Captain."
Marshal Law (2015),western,"In an alternate history of the United States where the Civil War lasted 10 years, a brilliant scientist is kidnapped by a crazed madman known as John Conway, the United States Marshals are called upon to prevent the impending disaster. To track down Conway, Marshal Colton Barnes enlists the help of Sheriff Royce O'Connell, who has been living in seclusion in an attempt to forget his painful past. Together, they set out with a team of Marshals to hunt down Conway. But nothing can prepare O'Connell or the Marshals for what awaits them."
SED: Thirst (2017),horror,"Dominic and Maria were once a happy and social married couple, but an encounter with an ex turns Dominic's world upside down. Now reclusive and living in a desolate wooded area, the strained relationship is marred by Dominic's dark secret - one that has him thirsting for his wife's blood. ""SED"" is a modern take on the vampire genre, replacing an often glamorized look with a gritty view of the monster's struggles."
Mughal Road (2018),history,"The movie is tale of a historical event of the battle that took place as Pakistani tribesmen, known as Kabailies, guided by Pakistani armed forces, crossed over to Baramula. Claiming they needed to suppress a rebellion in the Princely state of Jammu and Kashmir, they swiftly moved to take Baramula instead. They reached the outskirts of Shrinagar as they attempted to enter the summer capital with the intention of gaining control of Maharaja's Palace and the Shrinagar Airport. Maharaja Hari Singh made a plea to India for military intervention. Signing instruments of accession, allowing the Government of India legitimate control over Jammu and Kashmir. The war was initially fought between the 1st Sikh Regiment consisting of only 17 soldiers of the Indian armed forces. The Pakistani and tribesmen forces were about ten thousand strong with militia men disguised with Pakistani military officers for tactile and communications support. Baramula, the second largest town, was under siege by Pakistani Kabailies and the Pakistani Army. A major part of the tale describes how a young local boy named Meer Maqbool Sherwani, turns the tide of the battle in favor of the Indian army by bluffing the Pakistani Kabailies concerning the presence of the Indian armies at the Shrinagar Airport."
Flintown Kids (2005),documentary,"The town of Flint, Michigan, a miniscule point on the map, recently drew national attention through documentary film maker Michael Moore. Moore, a Flint native, wrote and directed the documentary Roger and Me about the darker side of capitalism and General Motors. Omar McGee, another Flint native, picks up where Moore left off with Flint Town Kids, a documentary showing the African American dark side of Flint. Flint is predominantly populated by African Americans who migrated from the south after Reconstruction. Flint can be viewed as a microcosm of America's poverty stricken urban areas. Once abandoned by General Motors, Flint became one of the poorest urban areas in the country. Flint Town Kids captures the bleak setting in which these Flint natives exist. It powerfully examines the hardships, the sufferings, mishaps and sacrifices made in order to persist in this town. Flint Town Kids highlights the frightening education system in Flint where schools are designed to produce basketball players only. On the other hand, students who are non basketball players are left with mediocre excuses for classrooms while adjusting to the lack of libraries needed to empower young minds. The documentary takes a very close look at children who bare the armor of strength in trying to escape Flint. Flint's has been successful in producing a legacy of basketball players ranging from playground hopefuls to the pros. The film highlights current and former NBA players such as Morris Peterson (Toronto Raptors), Eddie Robinson (Chicago Bulls), Trent Tucker and Glen Rice as well as Tracy McGrady (Houston Rockets) LeBron James, (Cleveland Caveliers), Jason Richardson (Golden State Warriors) Chucky Atkins (Boston Celtics) and Jonathan Bender (Indiana Pacers) who have achieved the dream of making it to the pros. For those who are not as fortunate to escape the nightmarish lifestyle that Flint brings, they embark on survival methods such as drugs and violence. Flint Town Kids brings to light the little faith left in the system. Children raising kids and kids age ten killing each other is just an everyday part of life in Flint. The documentary will depict those shocking scenes in the lives of children who are left with no choice but to make adult decisions in a world where only the fittest survive. For many adults the consuming goal of overcoming poverty lies in making cocaine. Flint Town Kids graphically explores this process which seems to have become the saving grace for many in a town that presents scarce positive outcomes for the future. Flint Town Kids will leave audiences outraged and enthralled with the African American lifestyle in an area that once presented promise only miles from the Motor City. Follow-up to Dollar Bill Y'All. Story revolves around the youth on the streets of Flint, Michigan and the choices they face. Several Flintown Kids grow up to be ballers, jumping right from high school to the NBA while others are faced to find other ways off the streets, like selling drugs and resorting to violence. This documentary takes us through their world."
An (2015),drama,"The manager of a pancake stall finds himself confronted with an odd but sympathetic elderly woman looking for work. A taste of her homemade bean jelly convinces him to hire her, which starts a relationship that is about much more than just street food."
China Inside Out: Bob Woodruff Reports (2008),documentary,"Bob Woodruff goes to China to explores the stunning global transformation that is taking place in the Far East country. He examines the intricate relationships that China is cultivating in Angola, Brazil, Cambodia, and the United States and considers the implication of those relationships for China's role in the world."
Sebunzu feisu (2000),thriller,"A horrifying crime has been committed in Tokyo: a girl's body was found frozen in a block of ice inside a steel drum. The only lead the police are able to find is a web site calling itself ""Seven's Face"" that seems to know a lot about the case. Soon the information on the page changes, and a new murder victim is found matching the new details. Police detective Uchiyama finds several people who seem very suspicious, but none of them can be conclusively linked to the crimes. Who is committing these murders, and where will the next victim be found?"
Science Fiction and Magick: Frater Thabion Aka Poke Runyon and Curtis Shumaker (2012),documentary,"In this interview on Poke Runyon's Hermetic Hour, I discuss the history of esoteric and occult themes in the literature of the horror, fantasy, and science fiction genres. The general focus is on H.P. Lovecraft and writers he inspired, such as Fritz Leiber, Richard Matheson, Charles Beaumont, and Jack Williamson."
Nayikar Mato (2016),drama,"The film Nayikar Mato tells the story of Rani, who once used to be the queen of Tollygung Film Industry. One day a director named Shimul offered her the role of a housewife who was once a bright student but had fallen for a simpleton.After thinking a lot she approved the script and set out on to look for a middle class household that suits the script.During the course of the filming, Rani accidentally meets Arka who was also a simple guy. Watch Nayikar Mato to know how Rani transforms herself from a queen to a housewife."
Outraged (2017),comedy,"In his first stand up special, Tom Clark (Conan, Comedy Central) makes fun of comedy specials, himself, drunks, marriage, gangs, TSA, rescue animals, hecklers, elevators, beach balls, cosmetic companies, classic rock, handshakes, love and a guy named Sleepy Joe."
"""Fancy Boy"" (2016)",comedy,"A sketch comedy series finding humor in the stranger corners of suburbia: in the couple whose communication breakdown leads to a kidnap; in the artist who loses everything over his obsession with fart sounds; in the mum who struggles to accept her missing teen back into the family, mainly because he returns with a full beard and a foreign accent"
G4 te gong (1997),action,"With the retreat of the British government from Hong Kong, the S.B. Team, an elite secret police force, is also on its way out. However, this team of highly trained cops have one final mission together and they are in for the fight of their lives!"
US Festival 1983 Days 1-3 (2009),documentary,"The ultimate concert took place on Memorial Day Weekend 1983. Curated by Steve Wozniak (Apple computers), the 3 days of New Wave, Heavy Metal and Rock are legendary. Features performances from U2, the Clash, Judas Priest, Stevie Nicks, Scorpions, INXS, Men at Work, Stray Cats, Triumph, Missing Persons and more"
The Mysterious Wonderful (????),comedy,"Tommy fakes his way through the science project with an empty mayonnaise jar by claiming he invented a new, odorless, tasteless, consciousness-raising gas. Naturally, the uptight teacher, principal, local police and paranoid parents misinterpret his ruse and a wave of mass hysteria through word-of-mouth and social media sweeps through the entire town."
"""Speedvision Speedshop"" (1999)",documentary,"Speedshop is a magazine-style program that not only appeals to the seasoned automotive enthusiast, but is of interest to the casual viewer as well. South Bay Studios Group in Long Beach, California produces Speedshop both in its studios and on location. The South Bay Studios Group (SBSG) includes: South Bay Studios (link), a state-of-the-art 150,000 square foot studio facility with 12 stages. Also an integral part of the SBSG is Focus on Cars, a premier automotive preparation facility for both print and film productions.  Both of these subsidiaries of South Bay Studios have a very impressive client list within the automotive industry. Speedshop was originally featured on the cable network Speedvision for a number of years. Just recently the successful automotive-themed show was picked up by ShopNBC to anchor its primetime slot on Wednesday nights.  Speedshop is very proud to be apart of ShopNBC's new 2001 fall season of original programming."
Scars (2017/II),short,"A experimental documentary in five acts about the sci-fi artist Lars Mikkes and his creative process, feelings and consciousness. The artist is working on a painting for a customer while meeting neurotic emotions and new experiences. He must face the general consequences or benefits of being an artist."
"""Book of Secrets"" (2016)",sci-fi,"Episode I: Roswell '47: Something crashed in the desert outside of Roswell. Two Army Air Force officers are sent out to investigate. But something is very, very wrong. Episode II: Dulce '79: A former government geologist dies in Oregon in 1996. He was present in 1979 when something went wrong in a deep underground military base. Does that have anything to do with his death, or is it just coincidence? Episode III: Boulder '68: The Condon Committee has been accused of downplaying UFO evidence. Is it a government cover-up, or is there simply nothing to report? Episode IV: Fort Riley '47: Strange cargo arrives at an army base in Kansas. There are rumors that it is wreckage from a crash, just outside of Roswell. The holding area is designated 'No Entry'...but someone still manages to get inside. Episode V: Rendlesham '80: Just after Christmas, a US Air Force Base in England is beset with unexplained lights and close encounters with airmen. And if the base commander didn't have enough to deal with, now there might be a breach in security."
Guardians of the Sacred (2017),documentary,"Guardians of the Sacred follows 25 sacred site guardians from around the world as they journey to the Hawaiian island of Kaho'olawe for shared ceremony and strategic dialogue before attending the IUCN World Conservation Congress in Honolulu in September 2016. Along the way they share heartfelt stories of success and failure as they commit to work together in a worldwide effort to protect sacred places and indigenous land rights. Instead of traditional protesters, these guardians are ""protectors"" - they protect their lands and waters for future generations, by addressing both the ecological and the spiritual dimensions of land and water. This new framing of activism emerged into public consciousness at Standing Rock in North Dakota, at the same time we were filming these leaders articulating this powerful alternative way of seeking social and environmental justice. Through our footage at the IUCN World Conservation Congress we see that the conservation movement is awakening to the value and importance of indigenous leadership as we all seek a way out of global crisis. Balancing politics and spirituality is an essential element of this new way forward and indigenous guardians of sacred sites are grappling with these issues in a deep and fundamental way that offers new hope."
A Broadway Butterfly (1925),comedy,"Irene, a young girl from a small town, arrives in New York City determined to make it on the Broadway stage. She meets up with Cookie, a worldly chorus girl who takes Irene under her wing. When Irene falls for young Ronald, his rival Crane sets out to break up the pair so he can have Irene for his own--and he doesn't much care how he does it."
How to Tie a Tie Video (2006),short,"How to Tie a Tie Video teaches viewers how to project a successful professional appearance with instruction on tying tie the Windsor, Half Windsor, Four-in-Hand, Pratt Knot and Bow Tie."
